displayName                                                                                                                                                                              detailedDescription                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         caption                                                                                description                                                                            documentLink                                                                                                                                                                                 id                                    label                                                                                                                                            learnMoreLink                                                                                                                                                                  recommendationImpact  retirementDate  retirementFeatureName  supportedResourceType
Migrate off Cloud Services (classic) before 31 August 2024                                                                                                                               Cloud Services (classic) is retiring. To avoid any loss of data or business continuity, migrate off before 31 Aug 2024.                                                                                                                                                                                                                                                                                                                                                                                                                                     CloudServicesRetirement                                                                CloudServicesRetirement                                                                <nil>                                                                                                                                                                                        13ff4efb-6c84-4684-8838-52c123e3e3a2  Cloud Services (classic) is retiring. Migrate off before 31 Aug 2024                                                                             https://aka.ms/ExternalRetirementEmailMay2022                                                                                                                                  Medium                <nil>           <nil>                  microsoft.classiccompute/domainnames
Upgrade your application to use the latest API version from Azure OpenAI                                                                                                                 An Azure OpenAI resource with an older API version lacks the latest features and functionalities. We recommend that you use the latest REST API version.                                                                                                                                                                                                                                                                                                                                                                                                    Update your code to use the latest REST API version                                    Update your code to use the latest REST API version                                    https://aka.ms/openai                                                                                                                                                                        13fed411-54aa-4923-b830-23b51539d79d  Upgrade your application to use the latest API version from Azure OpenAI                                                                         https://learn.microsoft.com/en-us/azure/cognitive-services/openai/reference                                                                                                    Medium                <nil>           <nil>                  microsoft.cognitiveservices/accounts
Upgrade to the latest agent version of Azure Arc-enabled Kubernetes                                                                                                                      For the best Azure Arc enabled Kubernetes experience, improved stability and new functionality, upgrade to the latest agent version.                                                                                                                                                                                                                                                                                                                                                                                                                        Latest agent version of Azure Arc-enabled Kubernetes                                   Latest agent version of Azure Arc-enabled Kubernetes                                   <nil>                                                                                                                                                                                        6d55ea5b-6e80-4313-9b80-83d384667eaa  Upgrade to the latest agent version of Azure Arc-enabled Kubernetes                                                                              https://aka.ms/ArcK8sAgentUpgradeDocs                                                                                                                                          Medium                <nil>           <nil>                  microsoft.kubernetes/connectedclusters
Upgrade Device Update for IoT Hub SDK to a supported version                                                                                                                             When a Device Update for IoT Hub instance uses an outdated version of the SDK, it does not get the latest upgrades. For the latest fixes, performance improvements, and new feature capabilities, upgrade to the latest Device Update for IoT Hub SDK version.                                                                                                                                                                                                                                                                                              View release notes                                                                     View release notes                                                                     https://learn.microsoft.com/en-us/azure/iot-hub-device-update/understand-device-update                                                                                                       d1ff97b9-44cd-4acf-a9d3-3af500bd79d6  Upgrade Device Update for IoT Hub SDK to a supported version                                                                                     https://learn.microsoft.com/en-us/azure/iot-hub-device-update/understand-device-update                                                                                         Medium                <nil>           <nil>                  microsoft.devices/iothubs
Upgrade your cluster to the the latest HDInsight image                                                                                                                                   A cluster created one year ago does not have the latest image upgrades. Your cluster was created 1 year ago. As part of the best practices, we recommend you use the latest HDInsight images for the best open source updates, Azure updates, and security fixes. The recommended maximum duration for cluster upgrades is less than six months.                                                                                                                                                                                                            Keep your clusters up to date                                                          Keep your clusters up to date                                                          https://aka.ms/hdireleasenotes                                                                                                                                                               8f163c95-0029-4139-952a-42bd0d773b93  Upgrade your cluster to the the latest HDInsight image                                                                                           https://learn.microsoft.com/azure/hdinsight/hdinsight-overview-before-you-start#keep-your-clusters-up-to-date                                                                  High                  <nil>           <nil>                  microsoft.hdinsight/clusters
Upgrade your HDInsight Cluster                                                                                                                                                           A cluster not using the latest image does not have the latest upgrades. Your cluster is not using the latest image. We recommend you use the latest versions of HDInsight images for the best of open source updates, Azure updates, and security fixes. HDInsight releases happen every 30 to 60 days.                                                                                                                                                                                                                                                     Azure HDInsight release notes                                                          Azure HDInsight release notes                                                          https://learn.microsoft.com/en-us/azure/hdinsight/hdinsight-release-notes                                                                                                                    97355d8e-59ae-43ff-9214-d4acf728467a  Upgrade your HDInsight Cluster                                                                                                                   https://learn.microsoft.com/en-us/azure/hdinsight/hdinsight-release-notes                                                                                                      High                  <nil>           <nil>                  microsoft.hdinsight/clusters
Migrate to supported version of AGC                                                                                                                                                      The version of Application Gateway for Containers was provisioned with a preview version and is not supported for production. Ensure you provision a new gateway using the latest API version.                                                                                                                                                                                                                                                                                                                                                              Use latest AGC API                                                                     Use latest AGC API                                                                     https://aka.ms/appgwcontainers/docs                                                                                                                                                          db83b3d4-96e5-4cfe-b736-b3280cadd163  Migrate to supported version of AGC                                                                                                              https://aka.ms/appgwcontainers/docs                                                                                                                                            High                  <nil>           <nil>                  microsoft.servicenetworking/trafficcontrollers
VM agent is 9.9.9.9. Please upgrade the cluster.                                                                                                                                         Our records indicate that one or more of your clusters are using images dated February 2022 or older (image versions 2202xxxxxx or older). There is a potential reliability issue on HDInsight clusters that use images dated February 2022 or older. Consider rebuilding your clusters with newest image.                                                                                                                                                                                                                                                  Upgrade your cluster to newest image                                                   Upgrade your cluster to newest image                                                   https://aka.ms/hdiupgrade                                                                                                                                                                    e4635832-0ab1-48b1-a386-c791197189e6  VM agent is 9.9.9.9. Please upgrade the cluster.                                                                                                                                                                                                                                                                                High                  <nil>           <nil>                  microsoft.hdinsight/clusters
Upgrade to the latest FarmBeats API version                                                                                                                                              We identified calls to an ADMA API version that is scheduled for deprecation. To ensure uninterrupted access to ADMA, latest features, and performance improvements, switch to the latest ADMA API version.                                                                                                                                                                                                                                                                                                                                                 Migrate your code to use the latest FarmBeats API version                              Migrate your code to use the latest FarmBeats API version                              https://aka.ms/FarmBeatsPaaSAzureAdvisorFAQ                                                                                                                                                  1233e513-ac1c-402d-be94-7133dc37cac6  Upgrade to the latest API version                                                                                                                https://aka.ms/FarmBeatsPaaSAzureAdvisorFAQ                                                                                                                                    Medium                <nil>           <nil>                  microsoft.agfoodplatform/farmbeats
Upgrade your deprecated Virtual Machine image to a newer image                                                                                                                           Virtual Machines (VMs) in your subscription are running on images scheduled for deprecation. Once the image is deprecated, new VMs can't be created from the deprecated image. To prevent disruption to your workloads, upgrade to a newer image. (VMRunningDeprecatedImage)                                                                                                                                                                                                                                                                                Upgrade your VM to alternative image version                                           Upgrade your VM to alternative image version                                           https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           11f04d70-5bb3-4065-b717-1f11b2e050a8  Upgrade your VM to alternative image version                                                                                                     https://aka.ms/DeprecatedImagesFAQ                                                                                                                                             High                  <nil>           <nil>                  microsoft.compute/virtualmachines
