displayName                                                                                           detailedDescription                                                                                                                                                                                                                                                                                                                                                                                                               caption                                                                                              description                                                                                          documentLink                                                                                                                                                                                 id                                    label                                                                                                 learnMoreLink                                                                                                                                                                                          recommendationImpact  retirementDate  retirementFeatureName  supportedResourceType
Upgrade to the latest FarmBeats API version                                                           We identified calls to an ADMA API version that is scheduled for deprecation. To ensure uninterrupted access to ADMA, latest features, and performance improvements, switch to the latest ADMA API version.                                                                                                                                                                                                                       Migrate your code to use the latest FarmBeats API version                                            Migrate your code to use the latest FarmBeats API version                                            https://aka.ms/FarmBeatsPaaSAzureAdvisorFAQ                                                                                                                                                  1233e513-ac1c-402d-be94-7133dc37cac6  Upgrade to the latest API version                                                                     https://aka.ms/FarmBeatsPaaSAzureAdvisorFAQ                                                                                                                                                            Medium                <nil>           <nil>                  microsoft.agfoodplatform/farmbeats
Upcoming Breaking Changes for Microsoft Flux Extension                                                The Microsoft Flux extension frequently receives updates for security and stability. The upcoming update, in line with the OSS Flux Project, modifies the HelmRelease and HelmChart APIs by removing deprecated fields. To avoid disruption to workloads, necessary action is needed.                                                                                                                                             Update Flux Configuration Deployments                                                                Update Flux Configuration Deployments                                                                https://aka.ms/fluxreleasenotes                                                                                                                                                              79cfad72-9b6d-4215-922d-7df77e1ea3bb  Upcoming Breaking Changes for Microsoft Flux Extension                                                https://aka.ms/fluxreleasenotes                                                                                                                                                                        High                  <nil>           <nil>                  microsoft.kubernetesconfiguration/extensions
Upgrade device client SDK to a supported version for IotHub                                           When devices use an outdated SDK, performance degradation can occur. Some or all of your devices are using an outdated SDK. We recommend you upgrade to a supported SDK version.                                                                                                                                                                                                                                                  View to learn more about recommended action                                                          View to learn more about recommended action                                                          {recommendedActionLearnMore}                                                                                                                                                                 d448c687-b808-4143-bbdc-02c35478198a  Upgrade Device Client SDK for IotHub                                                                  https://aka.ms/iothubsdk                                                                                                                                                                               Medium                <nil>           <nil>                  microsoft.devices/iothubs
Upgrade your VMSS to alternative image offer                                                          VMSS in your subscription are running on images that have been scheduled for deprecation. Once the image is deprecated, your VMSS workloads would no longer scale out. To prevent disruption to your workload, upgrade to newer offer of the image.                                                                                                                                                                               Upgrade your VMSS to alternative image Offer                                                         Upgrade your VMSS to alternative image Offer                                                         https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           3d18d7cd-bdec-4c68-9160-16a677d0f86a  Upgrade your VMSS to alternative image offer                                                          https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachinescalesets
Upgrade your VMSS to alternative image SKU                                                            VMSS in your subscription are running on images that have been scheduled for deprecation. Once the image is deprecated, your VMSS workloads would no longer scale out. To prevent disruption to your workload, upgrade to newer SKU of the image.                                                                                                                                                                                 Upgrade your VMSS to alternative image SKU                                                           Upgrade your VMSS to alternative image SKU                                                           https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           44abb62e-7789-4f2f-8001-fa9624cb3eb3  Upgrade your VMSS to alternative image SKU                                                            https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachinescalesets
Upgrade to the latest version of AKS enabled by Arc                                                   Upgrade to the latest version of API/SDK of AKS enabled by Azure Arc for new functionality and improved stability.                                                                                                                                                                                                                                                                                                                Upgrade to the latest version of AKS enabled by Arc                                                  Upgrade to the latest version of AKS enabled by Arc                                                  https://aka.ms/AKSArcAzureAdvisorRecommendation                                                                                                                                              09e56b5a-9a00-47a7-82dd-9bd9569eb6ed  Upgrade to the latest version of AKS enabled by Arc                                                   https://azure.github.io/azure-sdk/releases/latest/index.html                                                                                                                                           Low                   <nil>           <nil>                  microsoft.azurestackhci/clusters
Upgrade to the latest version of AKS enabled by Arc                                                   Upgrade to the latest version of API/SDK of AKS enabled by Azure Arc for new functionality and improved stability.                                                                                                                                                                                                                                                                                                                Upgrade to the latest version of AKS enabled by Arc                                                  Upgrade to the latest version of AKS enabled by Arc                                                  https://aka.ms/AKSArcAzureAdvisorRecommendation                                                                                                                                              2ac72093-309f-41ec-bf9d-55e9fc490563  Upgrade to the latest version of AKS enabled by Arc                                                   https://azure.github.io/azure-sdk/releases/latest/index.html                                                                                                                                           Low                   <nil>           <nil>                  microsoft.azurestackhci/clusters
Upgrade your application to use the latest API version from Azure OpenAI                              An Azure OpenAI resource with an older API version lacks the latest features and functionalities. We recommend that you use the latest REST API version.                                                                                                                                                                                                                                                                          Update your code to use the latest REST API version                                                  Update your code to use the latest REST API version                                                  https://aka.ms/openai                                                                                                                                                                        13fed411-54aa-4923-b830-23b51539d79d  Upgrade your application to use the latest API version from Azure OpenAI                              https://learn.microsoft.com/en-us/azure/cognitive-services/openai/reference                                                                                                                            Medium                <nil>           <nil>                  microsoft.cognitiveservices/accounts
Use the new 3.6+ endpoint to connect to your upgraded Azure Cosmos DB's API for MongoDB account       Some of your applications are connecting to your upgraded Azure Cosmos DB's API for MongoDB account using the legacy 3.2 endpoint - [accountname].documents.azure.com. Use the new endpoint - [accountname].mongo.cosmos.azure.com (or its equivalent in sovereign, government, or restricted clouds).                                                                                                                            Supported and unsupported features of MongoDB version 4.0                                            Supported and unsupported features of MongoDB version 4.0                                            https://docs.microsoft.com/azure/cosmos-db/mongodb-feature-support-40                                                                                                                        123039b5-0fda-4744-9a17-d6b5d5d122b2  Use the new 3.6+ endpoint to connect to your upgraded Azure Cosmos DB's API for MongoDB account       https://docs.microsoft.com/azure/cosmos-db/mongodb-feature-support-40                                                                                                                                  Medium                <nil>           <nil>                  microsoft.documentdb/databaseaccounts
Migrate off Cloud Services (classic) before 31 August 2024                                            Cloud Services (classic) is retiring. To avoid any loss of data or business continuity, migrate off before 31 Aug 2024.                                                                                                                                                                                                                                                                                                           CloudServicesRetirement                                                                              CloudServicesRetirement                                                                              <nil>                                                                                                                                                                                        13ff4efb-6c84-4684-8838-52c123e3e3a2  Cloud Services (classic) is retiring. Migrate off before 31 Aug 2024                                  https://aka.ms/ExternalRetirementEmailMay2022                                                                                                                                                          Medium                <nil>           <nil>                  microsoft.classiccompute/domainnames
